"","network","L","Q","NODF"
"1","B_NS-PP-bezerra-et-al-2009","0.420118343195266","0.175362031342988","84.9310643060643"
"2","B_NS-PP-mosquin-1967","0.23444976076555","0.367971678467305","42.7201854193005"
"3","B_NS-PP-olesen_aigrettes","0.285714285714286","0.287352071005917","51.8737672583826"
"4","B_NS-PP-olesen_flores","0.25","0.430555555555556","35.960960960961"
"5","B_NS-PP-vazquez_ArroyoGoye_2002","0.148275862068966","0.530557057869118","29.5362158167036"
"6","B_NS-PP-vazquez_CerroLopez_2002","0.151515151515152","0.609876543209876","18.6578551472168"
"7","B_NS-PP-vazquez_LlaoLlao_2002","0.144827586206897","0.566893424036281","26.3118994826312"
"8","B_NS-PP-vazquez_Mascardi(c)_2002","0.173076923076923","0.540509259259259","23.2766761095373"
"9","B_NS-PS-Baird-1980wgt","0.340136054421769","0.2898","50.9802102659246"
"10","B_NS-PS-Beehler-1983wgt","0.426523297491039","0.201115740413813","67.6600550702347"
"11","B_NS-PS-Carlo-2003-FrontonWgt","0.161904761904762","0.429257977700884","34.1655328798186"
"12","B_NS-PS-Jordano-1985","0.444852941176471","0.223994262686975","78.755788482351"
"13","B_NS-PS-Kantak-1979","0.637037037037037","0.156773931855057","67.3437980917205"
"14","B_NS-PS-Poulin-et-al-1999Micwgt","0.434210526315789","0.321854912764004","48.2925298179535"
"15","B_NS-PS-Poulin-et-al-1999Pscwgt","0.370629370629371","0.228907084371663","73.8972431077694"
"16","B_NS-PS-Sorensen-1981wgt","0.273809523809524","0.306474480151229","42.7070063694268"
"17","B_SY-AP-IzzomtcCOLpen","0.233333333333333","0.693877551020408","8"
"18","B_SY-AP-IzzomtcDIM100","0.174603174603175","0.776859504132231","7.01754385964912"
"19","B_SY-AP-IzzomtcFLO","0.163461538461538","0.685121107266436","11.3207547169811"
"20","B_SY-AP-IzzomtcPA10","0.160714285714286","0.790123456790123","0"
"21","B_SY-AP-IzzomtcPAcamp","0.148148148148148","0.78125","4.90196078431373"
"22","B_SY-AP-IzzomtcPOW","0.15","0.777777777777778","4.10958904109589"
"23","B_SY-AP1-davidson-et-al-1989","0.131944444444444","0.777008310249307","3.49907918968692"
"24","B_SY-AP3-fonseca&ganade-1996","0.12","0.641927083333333","13.6309523809524"
